,Course Code,Course Name,Course Cap,Allocated Students
0,HS001, ,40,"17110002, 17110016, 17110028, 17110039, 17110068, 17110071, 17110090, 17110103, 17110131, 17110151, 17110218, 18110019, 18110027, 18110038, 18110074, 18110115, 18110118, 18110123, 18110139, 18110167, 18110176, 18110207, 18110227, 18110231, 18110242, 19110038, 19110212, 20110001, 20110053, 20110054, 20110069, 20110097, 20110109, 20110153, 20110163, 20110242, 19110179, 17110140, 18110096, 17110106"
1,HS002, ,40,"17110012, 17110049, 17110052, 17110061, 17110162, 17110167, 17110192, 17110211, 17110225, 18110072, 18110080, 18110092, 18110147, 18110149, 18110177, 18110194, 19110010, 19110037, 19110114, 19110117, 19110136, 19110181, 19110217, 19110239, 19110245, 20110033, 20110073, 20110089, 20110091, 20110159, 20110185, 17110245, 20110139, 18110069, 20110233, 20110062, 17110243, 18110176, 19110179, 19110236"
2,HS003, ,40,"19110003, 20110030, 18110054, 17110116, 18110161, 18110153, 19110122, 17110214, 18110091, 19110246, 20110092, 20110197, 18110195, 19110167, 20110135, 19110155, 20110161, 18110129, 20110063, 18110119, 19110059, 18110105, 18110229, 17110149, 17110164, 20110040, 17110053, 19110153, 19110012, 19110247, 20110211, 20110044, 19110109, 17110044, 17110234, 19110081, 18110026, 17110120, 19110002, 19110095"
3,HS004, ,40,"17110051, 17110076, 17110130, 17110140, 17110194, 17110212, 17110220, 17110226, 18110024, 18110031, 18110081, 18110083, 18110124, 18110141, 18110162, 18110185, 18110196, 18110214, 18110224, 19110048, 19110051, 19110074, 19110103, 19110104, 19110176, 19110183, 19110195, 19110210, 20110003, 20110058, 17110221, 20110218, 20110180, 18110193, 19110140, 20110206, 20110140, 18110194, 18110173, 20110090"
4,HS005, ,40,"17110014, 17110066, 17110245, 18110001, 18110020, 18110036, 18110058, 18110113, 18110125, 18110132, 18110164, 18110197, 18110226, 18110249, 19110024, 19110067, 19110100, 19110112, 19110116, 19110139, 19110220, 19110229, 20110016, 20110018, 20110056, 20110075, 20110096, 20110099, 20110116, 20110117, 20110140, 20110187, 20110201, 20110243, 18110039, 19110227, 17110124, 18110171, 20110221, 17110233"
5,HS006, ,40,"17110043, 17110055, 17110083, 17110178, 17110224, 18110005, 18110033, 18110043, 18110085, 18110110, 18110112, 18110121, 18110145, 18110171, 18110198, 19110004, 19110007, 19110026, 19110049, 19110075, 19110132, 19110158, 19110240, 20110121, 20110129, 20110167, 20110225, 19110099, 20110247, 20110060, 20110004, 19110119, 19110100, 17110156, 20110011, 17110234, 17110118, 18110077, 17110011, 19110020"
6,HS007, ,40,"17110001, 17110017, 17110057, 17110077, 17110145, 17110148, 17110239, 18110025, 18110050, 18110059, 18110076, 18110126, 18110134, 18110168, 18110169, 19110006, 19110039, 19110047, 19110056, 19110129, 19110188, 19110206, 19110231, 20110027, 20110032, 20110051, 20110083, 20110141, 20110183, 20110186, 20110206, 20110207, 20110210, 20110212, 20110214, 20110246, 18110104, 17110204, 20110120, 18110164"
7,HS008, ,40,"17110003, 17110091, 17110143, 17110147, 17110159, 17110166, 17110215, 17110236, 18110073, 18110082, 18110093, 18110101, 18110131, 18110180, 18110199, 18110221, 18110233, 19110034, 19110062, 19110088, 19110119, 19110149, 19110166, 19110168, 19110214, 20110009, 20110015, 20110039, 20110059, 20110066, 20110110, 20110120, 20110139, 20110162, 20110172, 20110174, 20110178, 20110188, 20110249, 20110250"
8,HS009, ,40,"17110021, 17110124, 17110129, 17110146, 17110154, 17110202, 17110213, 18110006, 18110046, 18110048, 18110095, 18110109, 18110158, 18110175, 18110210, 18110234, 18110247, 19110009, 19110040, 19110089, 19110096, 19110131, 19110142, 19110165, 19110182, 19110202, 19110205, 19110218, 20110020, 20110093, 20110127, 20110136, 20110143, 20110203, 20110217, 20110236, 17110028, 20110077, 20110019, 18110037"
9,HS010, ,40,"17110019, 17110104, 17110158, 17110173, 17110197, 17110209, 18110010, 18110029, 18110030, 18110042, 18110140, 18110157, 18110184, 19110230, 20110002, 20110070, 20110071, 20110112, 20110125, 20110171, 20110176, 20110215, 20110241, 19110174, 17110065, 20110093, 20110057, 18110133, 17110062, 17110164, 20110113, 17110112, 18110250, 17110097, 19110202, 18110019, 20110025, 19110047, 19110003, 17110093"
