,Course Code,Course Name,Course Cap,Allocated Students
0,HS 104,Foundational Sanskrit,40,"205100513, 172100694, 171100663, 181101084, 172100690, 202500380, 171101404, 182500142, 205700053, 202500382, 171100660, 205100982, 171100664, 202500422, 171101400, 181101743, 181101744, 181100470, 181100343, 205100511, 172100692, 181100340, 202500423, 181100474, 202500424, 205700052, 205700050, 182500141, 205100981, 171100661, 181101081, 182500143, 171100662, 205100510, 181100341, 182500144, 171101401, 181100472, 202500420, 205100984"
1,HS 108,Japan Studies,40,"181100320, 181101114, 202500291, 191101162, 205100642, 181100892, 181100324, 181100893, 202500194, 181100891, 202500190, 202500324, 191101164, 171100741, 191101163, 181100681, 181100321, 181101543, 181101540, 202500320, 202500322, 203100272, 202500314, 181100323, 205100640, 205100644, 181101112, 202500293, 171101631, 205100641, 181101544, 203100270, 181100894, 191101161, 181100682, 205101010, 181100684, 202500290, 181101541, 181101542"
2,HS 111,Urdu Script & Poetry,40,"191100440, 191100441, 191100442, 191100443, 191100444, 171100410, 171100411, 171100412, 171100413, 171100414, 191101820, 191101821, 191101822, 191101823, 191101824, 205100540, 205100541, 205100542, 205100543, 205100544, 181100703, 202500120, 171100742, 202100031, 171101402, 202100030, 172100693, 171100744, 181101083, 202500123, 202500121, 202500124, 202100034, 181101080, 205100512, 191101160, 202500122, 202100033, 171101403, 171100743"
3,HS 112,Urdu Poetry Interpretation,40,"205100580, 191101080, 205100630, 205100594, 181100212, 205100603, 205100501, 191100231, 181100210, 191101083, 205100582, 205100483, 205100574, 192500152, 181100211, 202500154, 205100681, 205100503, 205100592, 181101720, 205100790, 181100702, 205100663, 205100763, 202500084, 205100481, 205100762, 181100701, 205100820, 205100583, 205100581, 205100682, 191101081, 205100793, 202500400, 202500404, 205100584, 205100674, 205100683, 205100664"
4,HS 211,Exploring India’s Scientific and Technological Heritage,40,"191101111, 191101112, 191101061, 191101110, 181101014, 205100993, 202500070, 205100651, 191101064, 205700011, 181100901, 205100654, 191100124, 181100904, 205700010, 191101062, 202500074, 205100990, 181100740, 205100992, 205700013, 205100991, 191100121, 191101113, 181101011, 181100903, 191100123, 181100902, 191100122, 205100653, 205100652, 181101010, 205100650, 181100900, 202500073, 181101013, 191101063, 181100741, 205100994, 191100120"
5,HS 223,Sanskrit Literature,40,"181100350, 181100351, 181100352, 181100353, 181100354, 181100240, 181100241, 181100242, 181100243, 181100244, 181100360, 181100361, 181100362, 181100363, 181100364, 191101670, 191101671, 191101672, 191101673, 191101674, 191101940, 191101941, 191101942, 191101943, 191101944, 191100370, 191100371, 191100372, 191100373, 191100374, 191100390, 191100391, 191100392, 191100393, 191100394, 181100342, 191100230, 191100232, 191100233, 191100234"
6,HS 305,Perspectives in Psychology,40,"205100120, 205100121, 205100122, 205100123, 205100124, 205100870, 205100871, 205100872, 205100873, 205100874, 181100160, 181100161, 181100162, 181100163, 181100164, 191101950, 191101951, 191101952, 191101953, 191101954, 171101630, 171101632, 171101633, 171101634, 205700051, 205700054, 171100740, 202100032, 181101233, 171100744, 171100743, 181101234, 181101230, 181101232, 181101231, 205700052, 171101631, 171100741, 205700053, 205700050"
7,HS 391,Special Topics in HSS: Music Traditions of India,40,"181100272, 181100331, 171101551, 191100412, 181100262, 181100260, 171101552, 181100623, 181100270, 181101830, 181100274, 181101891, 181101893, 181100843, 205200261, 181100264, 181100624, 181100841, 181101832, 191100411, 171101553, 171101554, 181100271, 181100333, 181101834, 181100842, 181101890, 181101892, 191100413, 191100410, 171101550, 181100261, 181100840, 181100621, 191100414, 181100844, 181100332, 181100620, 205200263, 181100263"
8,HS 313,When You Cannot Experiment: Social Science Methods,40,"181101270, 181101271, 181101272, 181101273, 181101274, 205100020, 205100021, 205100022, 205100023, 205100024, 181100790, 181100791, 181100792, 181100793, 181100794, 181101480, 181101481, 181101482, 181101483, 181101484, 181100420, 181100421, 181100422, 181100423, 181100424, 181101520, 181101521, 181101522, 181101523, 181101524, 181100970, 181100971, 181100972, 181100973, 181100974, 181100510, 181100511, 181100512, 181100513, 181100514"
9,HS 411,Economic Concepts and Issues in Project Analysis,40,"202500300, 202500301, 202500302, 202500303, 202500304, 205200210, 205200211, 205200212, 205200213, 205200214, 205200250, 205200251, 205200252, 205200253, 205200254, 191101600, 191101601, 191101602, 191101603, 191101604, 202500110, 202500111, 202500112, 202500113, 202500114, 202100100, 202100101, 202100102, 202100103, 202100104"
