,Student Roll Number,Student Name,No. of Courses Required,Pref 1,Pref 2,Pref 3,Pref 4,Pref 5,Pref 6,Pref 7,Pref 8,Pref 9,Pref 10,Pref 11,Pref 12,Pref 13,Pref 14,Pref 15,Pref 16,Pref 17,Pref 18,Pref 19,Pref 20,Pref 21,Pref 22,Pref 23,Pref 24,Pref 25,Pref 26,Pref 27,Pref 28,Pref 29,Pref 30
0,17110001, ,1,HS007,HS018,HS017,HS029,HS021,HS015,HS003,HS001,HS002,HS004,HS005,HS006,HS008,HS009,HS010,HS011,HS012,HS013,HS014,HS016,HS019,HS020,HS022,HS023,HS024,HS025,HS026,HS027,HS028,HS030
1,17110002, ,3,HS001,HS027,HS004,HS019,HS010,HS009,HS013,HS023,HS020,HS029,HS002,HS003,HS005,HS006,HS007,HS008,HS011,HS012,HS014,HS015,HS016,HS017,HS018,HS021,HS022,HS024,HS025,HS026,HS028,HS030
2,17110003, ,2,HS008,HS014,HS016,HS018,HS020,HS003,HS024,HS002,HS030,HS010,HS028,HS001,HS004,HS005,HS006,HS007,HS009,HS011,HS012,HS013,HS015,HS017,HS019,HS021,HS022,HS023,HS025,HS026,HS027,HS029
3,17110004, ,2,HS023,HS019,HS001,HS002,HS003,HS004,HS005,HS006,HS007,HS008,HS009,HS010,HS011,HS012,HS013,HS014,HS015,HS016,HS017,HS018,HS020,HS021,HS022,HS024,HS025,HS026,HS027,HS028,HS029,HS030
4,17110005, ,3,HS028,HS016,HS005,HS025,HS021,HS010,HS030,HS022,HS001,HS015,HS007,HS023,HS014,HS009,HS011,HS006,HS029,HS002,HS003,HS004,HS008,HS012,HS013,HS017,HS018,HS019,HS020,HS024,HS026,HS027
5,17110006, ,2,HS025,HS001,HS002,HS003,HS004,HS005,HS006,HS007,HS008,HS009,HS010,HS011,HS012,HS013,HS014,HS015,HS016,HS017,HS018,HS019,HS020,HS021,HS022,HS023,HS024,HS026,HS027,HS028,HS029,HS030
6,17110007, ,2,HS028,HS020,HS019,HS013,HS008,HS014,HS007,HS025,HS021,HS009,HS015,HS030,HS017,HS026,HS024,HS016,HS011,HS023,HS022,HS003,HS004,HS027,HS018,HS010,HS001,HS006,HS029,HS005,HS012,HS002
7,17110008, ,1,HS016,HS024,HS027,HS029,HS001,HS002,HS003,HS004,HS005,HS006,HS007,HS008,HS009,HS010,HS011,HS012,HS013,HS014,HS015,HS017,HS018,HS019,HS020,HS021,HS022,HS023,HS025,HS026,HS028,HS030
8,17110009, ,2,HS024,HS020,HS001,HS002,HS003,HS004,HS005,HS006,HS007,HS008,HS009,HS010,HS011,HS012,HS013,HS014,HS015,HS016,HS017,HS018,HS019,HS021,HS022,HS023,HS025,HS026,HS027,HS028,HS029,HS030
9,17110010, ,1,HS019,HS022,HS010,HS004,HS006,HS012,HS014,HS001,HS005,HS016,HS003,HS024,HS007,HS027,HS011,HS015,HS020,HS026,HS017,HS008,HS009,HS002,HS013,HS018,HS021,HS023,HS025,HS028,HS029,HS030
10,17110011, ,3,HS013,HS022,HS006,HS014,HS020,HS009,HS001,HS018,HS002,HS012,HS024,HS017,HS005,HS010,HS007,HS011,HS030,HS021,HS015,HS028,HS016,HS023,HS008,HS026,HS025,HS027,HS003,HS004,HS019,HS029
11,17110012, ,1,HS002,HS019,HS017,HS025,HS009,HS018,HS005,HS028,HS020,HS010,HS004,HS030,HS001,HS026,HS024,HS012,HS029,HS014,HS006,HS011,HS016,HS008,HS007,HS023,HS015,HS003,HS027,HS022,HS021,HS013
12,17110013, ,2,HS016,HS022,HS026,HS024,HS025,HS014,HS029,HS023,HS012,HS019,HS010,HS015,HS027,HS008,HS007,HS028,HS002,HS013,HS017,HS030,HS004,HS005,HS009,HS021,HS001,HS003,HS006,HS011,HS018,HS020
13,17110014, ,3,HS005,HS003,HS012,HS007,HS013,HS004,HS027,HS029,HS021,HS026,HS016,HS011,HS010,HS002,HS006,HS018,HS023,HS001,HS008,HS009,HS014,HS015,HS017,HS019,HS020,HS022,HS024,HS025,HS028,HS030
14,17110015, ,2,HS020,HS014,HS016,HS026,HS018,HS004,HS011,HS013,HS006,HS023,HS019,HS022,HS001,HS010,HS021,HS007,HS027,HS025,HS009,HS017,HS008,HS015,HS024,HS030,HS012,HS002,HS003,HS005,HS028,HS029
15,17110016, ,3,HS001,HS017,HS027,HS003,HS010,HS002,HS004,HS005,HS006,HS007,HS008,HS009,HS011,HS012,HS013,HS014,HS015,HS016,HS018,HS019,HS020,HS021,HS022,HS023,HS024,HS025,HS026,HS028,HS029,HS030
16,17110017, ,1,HS007,HS022,HS009,HS020,HS028,HS011,HS023,HS024,HS029,HS012,HS010,HS003,HS001,HS021,HS030,HS008,HS019,HS027,HS025,HS017,HS005,HS004,HS002,HS016,HS013,HS026,HS018,HS015,HS006,HS014
17,17110018, ,3,HS018,HS003,HS022,HS007,HS008,HS030,HS001,HS025,HS006,HS016,HS010,HS014,HS027,HS026,HS024,HS015,HS002,HS021,HS004,HS005,HS009,HS011,HS012,HS013,HS017,HS019,HS020,HS023,HS028,HS029
18,17110019, ,1,HS010,HS011,HS015,HS014,HS001,HS018,HS028,HS030,HS025,HS021,HS029,HS027,HS022,HS026,HS007,HS006,HS008,HS017,HS005,HS019,HS023,HS002,HS003,HS004,HS009,HS012,HS013,HS016,HS020,HS024
19,17110020, ,1,HS023,HS014,HS019,HS016,HS020,HS001,HS030,HS005,HS015,HS029,HS010,HS004,HS003,HS021,HS008,HS011,HS025,HS022,HS009,HS024,HS028,HS013,HS002,HS006,HS007,HS012,HS017,HS018,HS026,HS027
20,17110021, ,3,HS009,HS028,HS002,HS020,HS019,HS030,HS021,HS026,HS006,HS014,HS001,HS007,HS016,HS005,HS003,HS004,HS017,HS008,HS010,HS011,HS012,HS013,HS015,HS018,HS022,HS023,HS024,HS025,HS027,HS029
21,17110022, ,3,HS014,HS029,HS013,HS027,HS021,HS030,HS004,HS005,HS006,HS001,HS002,HS003,HS007,HS008,HS009,HS010,HS011,HS012,HS015,HS016,HS017,HS018,HS019,HS020,HS022,HS023,HS024,HS025,HS026,HS028
22,17110023, ,2,HS017,HS011,HS029,HS002,HS005,HS001,HS003,HS004,HS006,HS007,HS008,HS009,HS010,HS012,HS013,HS014,HS015,HS016,HS018,HS019,HS020,HS021,HS022,HS023,HS024,HS025,HS026,HS027,HS028,HS030
23,17110024, ,1,HS011,HS004,HS027,HS007,HS024,HS030,HS025,HS009,HS001,HS019,HS029,HS018,HS028,HS008,HS015,HS026,HS021,HS010,HS006,HS016,HS020,HS013,HS012,HS014,HS003,HS023,HS005,HS002,HS017,HS022
24,17110025, ,1,HS020,HS018,HS009,HS005,HS011,HS004,HS025,HS023,HS001,HS002,HS003,HS006,HS007,HS008,HS010,HS012,HS013,HS014,HS015,HS016,HS017,HS019,HS021,HS022,HS024,HS026,HS027,HS028,HS029,HS030
25,17110026, ,2,HS017,HS009,HS027,HS008,HS003,HS010,HS016,HS018,HS014,HS029,HS022,HS006,HS013,HS001,HS002,HS004,HS005,HS007,HS011,HS012,HS015,HS019,HS020,HS021,HS023,HS024,HS025,HS026,HS028,HS030
26,17110027, ,1,HS014,HS001,HS002,HS003,HS004,HS005,HS006,HS007,HS008,HS009,HS010,HS011,HS012,HS013,HS015,HS016,HS017,HS018,HS019,HS020,HS021,HS022,HS023,HS024,HS025,HS026,HS027,HS028,HS029,HS030
27,17110028, ,2,HS001,HS009,HS019,HS010,HS026,HS027,HS003,HS008,HS014,HS002,HS012,HS017,HS030,HS004,HS005,HS006,HS007,HS011,HS013,HS015,HS016,HS018,HS020,HS021,HS022,HS023,HS024,HS025,HS028,HS029
28,17110029, ,1,HS030,HS006,HS011,HS022,HS026,HS027,HS007,HS003,HS029,HS018,HS004,HS001,HS028,HS020,HS005,HS014,HS023,HS019,HS016,HS025,HS009,HS021,HS002,HS008,HS010,HS012,HS013,HS015,HS017,HS024
29,17110030, ,1,HS017,HS018,HS015,HS005,HS014,HS012,HS020,HS007,HS001,HS002,HS003,HS004,HS006,HS008,HS009,HS010,HS011,HS013,HS016,HS019,HS021,HS022,HS023,HS024,HS025,HS026,HS027,HS028,HS029,HS030
30,17110031, ,1,HS017,HS004,HS007,HS030,HS021,HS011,HS013,HS006,HS029,HS023,HS014,HS027,HS028,HS024,HS019,HS016,HS025,HS005,HS003,HS018,HS008,HS022,HS009,HS001,HS015,HS002,HS010,HS026,HS012,HS020
31,17110032, ,1,HS015,HS018,HS010,HS022,HS005,HS008,HS001,HS002,HS003,HS004,HS006,HS007,HS009,HS011,HS012,HS013,HS014,HS016,HS017,HS019,HS020,HS021,HS023,HS024,HS025,HS026,HS027,HS028,HS029,HS030
32,17110033, ,3,HS025,HS027,HS019,HS009,HS001,HS002,HS003,HS004,HS005,HS006,HS007,HS008,HS010,HS011,HS012,HS013,HS014,HS015,HS016,HS017,HS018,HS020,HS021,HS022,HS023,HS024,HS026,HS028,HS029,HS030
33,17110034, ,1,HS025,HS001,HS029,HS030,HS026,HS013,HS012,HS014,HS005,HS018,HS008,HS027,HS011,HS009,HS022,HS028,HS004,HS003,HS019,HS007,HS017,HS016,HS020,HS006,HS002,HS015,HS010,HS024,HS023,HS021
34,17110035, ,3,HS013,HS017,HS010,HS023,HS022,HS003,HS006,HS011,HS008,HS016,HS014,HS020,HS029,HS005,HS009,HS027,HS021,HS002,HS025,HS012,HS028,HS030,HS024,HS018,HS001,HS004,HS007,HS015,HS019,HS026
35,17110036, ,1,HS022,HS030,HS002,HS018,HS006,HS005,HS019,HS026,HS014,HS023,HS017,HS003,HS004,HS011,HS009,HS027,HS013,HS028,HS001,HS024,HS025,HS021,HS008,HS007,HS010,HS012,HS015,HS016,HS020,HS029
36,17110037, ,3,HS019,HS013,HS003,HS023,HS022,HS027,HS012,HS008,HS025,HS016,HS007,HS015,HS004,HS002,HS017,HS001,HS005,HS006,HS009,HS010,HS011,HS014,HS018,HS020,HS021,HS024,HS026,HS028,HS029,HS030
37,17110038, ,3,HS030,HS026,HS024,HS009,HS028,HS011,HS012,HS017,HS001,HS022,HS004,HS015,HS023,HS003,HS007,HS013,HS020,HS027,HS019,HS025,HS014,HS021,HS002,HS016,HS010,HS005,HS006,HS008,HS018,HS029
38,17110039, ,2,HS001,HS008,HS017,HS002,HS021,HS030,HS020,HS003,HS004,HS005,HS006,HS007,HS009,HS010,HS011,HS012,HS013,HS014,HS015,HS016,HS018,HS019,HS022,HS023,HS024,HS025,HS026,HS027,HS028,HS029
39,17110040, ,3,HS027,HS007,HS014,HS026,HS028,HS004,HS024,HS030,HS011,HS013,HS008,HS025,HS019,HS029,HS021,HS001,HS010,HS005,HS009,HS002,HS003,HS006,HS012,HS015,HS016,HS017,HS018,HS020,HS022,HS023
40,17110041, ,1,HS019,HS012,HS022,HS025,HS027,HS030,HS017,HS006,HS024,HS029,HS018,HS007,HS015,HS008,HS005,HS013,HS002,HS001,HS003,HS004,HS009,HS010,HS011,HS014,HS016,HS020,HS021,HS023,HS026,HS028
41,17110042, ,1,HS019,HS013,HS014,HS011,HS015,HS024,HS026,HS025,HS021,HS017,HS028,HS009,HS018,HS002,HS008,HS030,HS027,HS029,HS010,HS004,HS022,HS006,HS005,HS001,HS016,HS023,HS003,HS007,HS012,HS020
42,17110043, ,1,HS006,HS016,HS021,HS022,HS012,HS025,HS003,HS007,HS005,HS001,HS018,HS020,HS013,HS030,HS015,HS027,HS017,HS023,HS002,HS004,HS008,HS009,HS010,HS011,HS014,HS019,HS024,HS026,HS028,HS029
43,17110044, ,3,HS003,HS005,HS024,HS022,HS006,HS012,HS010,HS002,HS016,HS008,HS015,HS030,HS013,HS020,HS019,HS017,HS028,HS011,HS021,HS014,HS027,HS001,HS009,HS004,HS007,HS018,HS023,HS025,HS026,HS029
44,17110045, ,3,HS016,HS002,HS013,HS019,HS004,HS025,HS005,HS014,HS027,HS010,HS008,HS001,HS003,HS006,HS007,HS009,HS011,HS012,HS015,HS017,HS018,HS020,HS021,HS022,HS023,HS024,HS026,HS028,HS029,HS030
45,17110046, ,2,HS018,HS001,HS002,HS003,HS004,HS005,HS006,HS007,HS008,HS009,HS010,HS011,HS012,HS013,HS014,HS015,HS016,HS017,HS019,HS020,HS021,HS022,HS023,HS024,HS025,HS026,HS027,HS028,HS029,HS030
46,17110047, ,2,HS024,HS029,HS008,HS017,HS006,HS025,HS028,HS001,HS002,HS003,HS004,HS005,HS007,HS009,HS010,HS011,HS012,HS013,HS014,HS015,HS016,HS018,HS019,HS020,HS021,HS022,HS023,HS026,HS027,HS030
47,17110048, ,3,HS026,HS001,HS002,HS003,HS004,HS005,HS006,HS007,HS008,HS009,HS010,HS011,HS012,HS013,HS014,HS015,HS016,HS017,HS018,HS019,HS020,HS021,HS022,HS023,HS024,HS025,HS027,HS028,HS029,HS030
48,17110049, ,3,HS002,HS016,HS021,HS007,HS006,HS001,HS003,HS004,HS005,HS008,HS009,HS010,HS011,HS012,HS013,HS014,HS015,HS017,HS018,HS019,HS020,HS022,HS023,HS024,HS025,HS026,HS027,HS028,HS029,HS030
